CODE,TITLE
7871,ОСТ. ПУНКТ 81 КМ                      
7891,ОДРИНСКАЯ                             
1100,ОСТ. ПУНКТ 73 КМ                      
3722,ОСТ. ПУНКТ 69 КМ                      
1498,ПЛАТФОРМА 84 КМ                       
5763,ХОТЫНЕЦ                               
7524,ОСТ. ПУНКТ 53 КМ                      
4761,ШАХОВО                                
7994,СЕЛИХОВО                              
4834,НАРЫШКИНО                             
9622,ОСТ. ПУНКТ 24 КМ                      
1474,ПЛАТФОРМА 21 КМ                       
4186,ПОЛПИНСКАЯ                            
1631,ФОКИНО                                
1645,ОСТ. ПУНКТ 207 КМ                     
2861,ОСТ. ПУНКТ 204 КМ                     
8250,ЛЮБОХНА                               
1114,МАЛЫГИН                               
5103,ОСТ. ПУНКТ 190 КМ                     
7776,ДЯТЬКОВО                              
4493,ЗЛЫНКА (ЭКСП.)                        
8748,СВЕНЬ                                 
1547,ЗАПАДНЫЙ ПОСТ                         
2624,ОСТ. ПУНКТ 18 КМ                      
3707,ПОЛУЖЬЕ                               
8357,РАЗЪЕЗД 31 КМ                         
7096,ВЫГОНИЧИ                              
9054,ОСТ. ПУНКТ 39 КМ                      
9916,РАЗЪЕЗД 43 КМ                         
1305,ПИЛЬШИНО                              
2983,ОСТ. ПУНКТ 50 КМ                      
9119,ХМЕЛЕВО                               
8902,ПАНИКОВКА                             
5083,ОСТ. ПУНКТ 76 КМ                      
4344,КРАСНЫЙ РОГ                           
1751,ПОЧЕП                                 
6632,ОСТ. ПУНКТ 90 КМ                      
4444,НЕМОЛОДВА                             
5603,ОСТ. ПУНКТ 99 КМ                      
2822,РАЗЪЕЗД 103 КМ                        
6493,ЖУДИЛОВО                              
6297,ОСТ. ПУНКТ 113 КМ                     
3252,РАССУХА                               
8025,ОСТ. ПУНКТ 123 КМ                     
8384,КОРОБОНИЧИ                            
3107,ОСТ. ПУНКТ 133 КМ                     
1898,УНЕЧА                                 
7253,ОСТ. ПУНКТ 143 КМ                     
